date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-04-16,684,1422,214862401.6831455998103312,11.763654280829,0.2808407790699974054596994352,6,0.1432416011380128,11351.926381,271.0113518025478543726128,0,0,0,0,0,443.29211284,606.6090583669599,0.00002034061133839854,0.0238736001896688,1551.7691661936274,107.74077536842019,8999999999,965,904,20302639.587367,484697.1003037420985683940496,22469.380074521,536.4249964088249010783086448,333,7.9499088631597104,20312319.587367,484928.1967535780925523940496,0.06606413492086048,0.09689568059139621,0.08317424824175189
2017-04-17,836,1429,233023021.9288602531161387,8.7121651118061,0.2255705602357571821561848939,6,0.1553486813031678,11142.859178,288.5047465415333867840114,0,0,0,0,0,452.37047858,648.1428708400805,0.00002172281297486859,0.0258914468838613,1595.4407769680067,121.13629676045261,8999999999,1279,1216,19895197.465767,515115.4484288382249315261171,16386.0941330321,424.2596858793518957607248477,338,8.7513090467451194,19925490.465767,515899.7780292910352924261171,0.06624653265111032,0.0974386157933454,0.08350934997911029
2017-04-18,927,1430,252913698.3810996779545332,10.6022054054054,0.2979381089305671197452862407,6,0.1686091322728008,16475.8272,462.99582127810154013696,0,0,0,0,0,193.53145225,680.8251211804903,0.000023376413500876573,0.0281015220454668,1692.7990756276947,74.36262660740425,8999999999,1554,1420,46504068.946657,1306835.118708389713937864488,32750.7527793359,920.3460012341408657073094981,341,9.5826190175041788,46506068.946657,1306891.321752480647537864488,0.06642260752259194,0.08107467775716216,0.08384262581266011
2017-04-19,1090,1432,293045749.1877406611977443,16.9163729460967,0.5508079093421047810264703262,6,0.1953638328135342,36404.03458,1185.338620904206284802106,0,0,0,0,0,72.42198412,704.5054740042601,0.000026919387492694423,0.0325606388022557,1907.4553712866784,132.75810946970552,8999999999,2152,2015,124271657.396833,4046364.549855947154510436198,61724.2101224978,2009.779711153185920367958287,5372,174.9157516457176204,124374283.396833,4049706.117973667447978636198,0.06669402361106287,0.0785159972166999,0.08491129203777217
2017-04-20,799,1428,259282453.7504374384689726,12.5474210907656,0.3614806810016861821960205774,6,0.1728549691861644,15897.582522,457.9960228291359549431028,0,0,0,0,0,231.72693993,606.0777819401538,0.00002331209731151364,0.0288091615310274,1673.180535878841,82.87962295747305,8999999999,1267,1166,38838816.072277,1118913.72590009124753646739,33358.8971460352,961.0418563770570067936925645,350,10.08320653585959,38896474.072277,1120574.80453564722536566739,0.06659374593570995,0.0812197514775268,0.08625804862958754
2017-04-21,787,1420,293186233.9284985517821028,35.1550877203833,1.145220863701156215884303997,6,0.1954574893073832,40358.040703,1314.7135515289264106697316,0,0,0,0,0,159.98014205,654.9062389872591,0.00002611665692577427,0.0325762482178972,1946.5133777485566,102.91754714965111,8999999999,1148,1042,56256982.171396,1832641.415205213497805108491,53989.4262681344,1758.772951252605525164134984,343,11.1736531387387396,56256982.171396,1832641.415205213497805108491,0.06710747502840236,0.0833567908673997,0.08717742656997
2017-04-22,828,1432,290400620.6937537643637755,9.9125946334728,0.3198470705073245316919154436,6,0.193600413817347,11845.550587,382.2172492562529444387815,0,0,0,0,0,273.52638598,633.3108231127944,0.000025947268264173012,0.0322667356362245,1933.9649530326476,117.86441652316842,8999999999,1195,1063,32903589.782519,1061691.432995318163053259516,31047.5632949379,1001.803516986708494296717959,350,11.293357472678575,33003559.782519,1064917.138556871526318259516,0.0671038226063468,0.08127700370299433,0.08701424103741194
2017-04-23,746,1429,290656557.9612004268896116,11.8662124658444,0.383221385749093697245817965,6,0.1937710386623304,12506.987939,403.9153405795448344055076,0,0,0,0,0,373.69205971,622.848065737867,0.000025836107831677504,0.0322951731103884,1898.5423210464546,134.35309274609034,8999999999,1054,932,24084001.15852,777796.986605198177447169168,26015.023775236,840.1596962921165863382616624,355,11.464786454187882,24246002.15852,783028.836944254208635569168,0.06710703088791042,0.07931033094040647,0.08704231165360246
2017-04-24,754,1417,308289382.8217988241271052,58.6364132173058,2.00855373818396955091250283,6,0.2055262552373688,59633.232242,2042.6991517330970812341416,0,0,0,0,0,201.69195057,638.5081459173359,0.000027245705727644656,0.0342543758728948,2121.2323260347935,168.9230190697484,8999999999,1017,931,44622504.634932,1528516.046154951086308041154,47929.6505208722,1641.800264398444371361634845,346,11.8520140520216008,44622504.634932,1528516.046154951086308041154,0.06717345490976852,0.07684410131125716,0.08688935200097603
2017-04-25,906,1433,337945997.1308825447590631,11.3631888069063,0.4266826858181239769472025125,6,0.2252973314456214,16124.364917,605.4627311759164325707373,0,0,0,0,0,227.11722641,677.9883184528167,0.000029338690824079405,0.0375495552409369,2371.1696971618358,168.24586953897924,8999999999,1419,1245,39627113.017534,1487980.469290742663764287605,31829.0064397863,1195.165035574892001778647784,349,13.1047947790869781,39627113.017534,1487980.469290742663764287605,0.06743080842457866,0.07677599277276756,0.08671701714878031
