date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-04-04,3453,5834,2597095,445.165409667467,3624332.843803435625684926596,3342487.90494034,1.69628190872778,0.0007424781117908503756631060687,1,0.000437709149623433,3053.30743571,1.33646060122352892535699243,5257787.01083714,23.17677,2301.381481414656256521090702,5257787.01083714,2301.381481414656256521090702,179.13935314,358.6471352005297,3.8330917592051547E-7,0.000437709149623433,-11.222173195783588,99.06111829809977,8280230940.84621569,1800,3378,46222288.93694163,20231.91878423733578879720122,16519.3661284618,7.230677700407157140573525359,376.62698025,0.16485307525046899542819825,55802418.78194398,24425.22927197538539995670128,0.05697946039942292,0.08629248166283973,0.06865070262068378
2017-04-05,3414,5852,2750589,470.025461380725,3790792.466974660846608939075,3517811.85577262,1.79520081993381,0.000821342064962001263934438808,1,0.000457520994777779,3525.77441035,1.61311581558536918300761265,5274009.18536492,23.233345,2412.969928955302041314422113,5274009.18536492,2412.969928955302041314422113,273.63600451,370.98781741255084,4.0281414377557003E-7,0.000457520994777779,9.904515731042734,98.22765245354844,8285504950.03158061,1964,3628,30279293.70970529,13853.41257923291051009913075,9463.19950146162,4.329612449689302680297597342,331.7086113,0.1517636538183316241883027,34332487.79130277,15707.83396747279590718505715,0.05706229291048089,0.08625309181992552,0.06874387106111267
2017-04-06,3311,5837,2977632,510.13054651362,3638059.035106980188102445084,3273880.99916878,1.94099764367315,0.0008517264256432445053843954168,1,0.000438808583008599,3693.71851591,1.62083538799909234104831009,5260490.70659177,23.15925,2308.34847288943831274789263,5260490.70659177,2308.34847288943831274789263,201.49290856,356.8556883104954,3.6732787843366454E-7,0.000438808583008599,0.478400735865716,81.84853674378726,8290765440.73817238,1903,3496,41146686.00577227,18055.51898169267997235704575,13533.5688692317,5.938646178556849734387623388,418.85554271,0.18379740718187281874176329,47313356.76683417,20761.50704023481108851911703,0.057133565082633946,0.08694024233457037,0.06891350155670083
2017-04-07,3332,5836,2872603,492.221213159698,3903637.161029071034369983149,3134293.54752432,1.9193352121954,0.0009031299003452203133721218572,1,0.000470543078982118,3418.33601292,1.60847435251483389609696456,5259589.47467356,23.140635,2474.8634255948374633051274,5259589.47467356,2474.8634255948374633051274,164.05987184,385.8562266801017,3.9483985973115114E-7,0.000470543078982118,10.88239092905968,114.9516407540868,8296025030.21284594,1781,3365,50567057.85115939,23793.97909635142296186737779,16276.2047800214,7.658655511334736148014257325,433.37695656,0.20392252749964200150279408,54769429.08477205,25771.3757956414054892480562,0.05735687129846678,0.08448337142656472,0.06938548911236034
2017-04-08,3749,5815,2799108,481.359931212382,5200701.607216174298596028655,3415290.3009094,1.71437617393162,0.001074048133380416515479310984,1,0.000626495018836663,3610.4762223,2.2619453688991623689781849,5240663.60439115,23.042815,3283.249643549647731531412732,5240663.60439115,3283.249643549647731531412732,52.40379903,478.0384776315872,5.289476914085348E-7,0.000626495018836663,54.30902964995894,190.33637120511946,8301265693.81723709,2106,3878,158409616.23795704,99242.83550890745280852457096,45280.731619052,28.36815280861586464152690348,389.380474305,0.243944927584339748263444215,175598677.21868356,110011.6965918122629363195234,0.06092367048495781,0.09655634580221208,0.0780795583828982
2017-04-09,4208,5784,2946808,509.475795297372,5096197.158994816806204184673,3838193.38918111,1.40905060815298,0.0008644818349883723695599366879,1,0.000613520784836506,3242.22544936,1.98917270230824053998233616,5212725.41492664,22.905575,3198.11538770299356122438392,5212725.41492664,3198.11538770299356122438392,68.53512099,448.8219114436707,5.055236703682038E-7,0.000613520784836506,58.98382803303824,204.2717253849319,8306478419.23216373,2301,4368,121200317.42762255,74358.91387062864286219002881,31201.894471733,19.1430107846834679356434849,346.56288475,0.2126235330470235764706835,136289875.05252959,83616.67110749729346068987721,0.06080063023800137,0.09519602757422936,0.07819112129124212
2017-04-10,4173,5851,2992686,511.482823448983,5770049.957056184639946001237,3731748.28225305,0.809620908623935,0.0005620419563503398361811902351,0.94965635,0.00065925509967584819273365,1806.26424714,1.25391560461760887913714886,5273107.95344671,23.15633,3660.611872337839548696415047,5273107.95344671,3660.611872337839548696415047,75.07317716,479.1461833978076,5.729409701928707E-7,0.000694203855611399,74.72806613439445,202.38510686783533,8311751527.18561044,2231,4369,110715329.2445987,76859.00843688589705280690058,38910.5856776378,27.01187860151384122644107328,347.77900262,0.24142952451949083452286538,170000348.82559954,118014.8976100139666258494332,0.0613923886785105,0.09499378129271177,0.07885388598249078
2017-04-11,4674,5820,3239999,556.700859106529,7232316.036608189144128646141,3703325.09879649,0.462422890655861,0.0004021149231683250482688025915,0.000886,7.70450228841024144E-7,1226.80792891,1.06681089116556702002702664,5245169.7639822,23.01909,4561.108628634431815834550549,5245169.7639822,4561.108628634431815834550549,33.33619709,503.3956224793142,7.07101402688489E-7,0.000869582651062104,103.76921726504489,252.98713669029405,8316996696.94959264,2653,5326,249488466.64429754,216950.8422339675605984559944,68018.1642205523,59.14741556328541778890048004,323.163434755,0.28101731632058817745702452,362264742.63866127,315019.1352900578918344581895,0.06355646141735823,0.10089978873572429,0.08333279379685643
2017-04-12,4505,5819,3080267,529.346451280289,6367099.154646085871787241253,4531811.12788151,0.335197758426602,0.0002564498400334121706790012241,0.000408,3.1214867075712636E-7,826.59767228,0.6324053055223940058770326,5244268.53206399,23.000475,4012.233949453923475336892245,5244268.53206399,4012.233949453923475336892245,61.09458373,412.7532748434316,6.291104617182915E-7,0.000765070271463545,99.68891367722475,208.64634408560465,8322240965.48165663,2466,5021,136218965.04653824,104217.0805666381590411606085,30731.3544938782,23.51164572507382803385697022,293.03515809,0.22419248794827912474682905,154302130.91376229,118051.9731855955741143005307,0.06415214328302016,0.10541969864067273,0.08547401237853726
2017-04-13,4155,5818,2941287,505.549501546923,6033934.818549418033568792644,4468505.45075265,0.297204939282029,0.0002153489769196169901537313213,0.000522,3.78231149938487112E-7,691.29868877,0.50090172031502951471866692,5243367.30014578,22.982225,3799.242995180074466609713125,5243367.30014578,3799.242995180074466609713125,36.25277531,350.56571922823497,6.179485680888344E-7,0.000724580747008596,80.91900076879988,176.79769745964563,8327484332.78180241,2326,4859,229706119.384594,166440.63157613485461394797,50530.5970120989,36.61349772981695001179430214,316.94486957,0.22965215035357262688882372,245528170.8817884,177904.9854691804477248346531,0.06404257800057883,0.1066829248319013,0.08586231725202544
