date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-03-01,382,8637,5638761,652.861062869052,10738318.20131952133802672591,0.127123287671233,0.01314820714306862425834331158,0.1,0.0103428784638363,92.8,9.5981912144400864,43185,15.182068299871,4466.572064607706155,43185,4466.572064607706155,206.78066462,133.57635849572057,0.00008419388018702519,0.103428784638363,,-36.00933283298351,103823304.49754263,730,708,502093.87172975,51930.95892737816936301839925,709.172135211511,73.34881204431941728264979649,6.802575535,0.703582119995711966249205,502093.87172975,51930.95892737816936301839925,0.04544493436143798,0.03472057973592132,0.04158102113919902
2017-03-02,488,8615,5689017,660.361810795125,11163953.26819408433008116082,0.261297071129707,0.02808522952535927928006096076,0.1,0.0107483904828837,249.8,26.8494794262434826,43075,15.1371312436231,4629.869200502153775,43075,4629.869200502153775,49.46033365,134.94078949690262,0.00008510668045288242,0.107483904828837,,-33.155224106488774,103866279.19754263,956,838,2099991.47859105,225715.2842262491106001701088,2505.95641836641,269.3499811769084491942001652,7.4460396,0.8003294117181515239452,2099991.47859105,225715.2842262491106001701088,0.04555401807391996,0.03603038090708104,0.04183412274398286
2017-03-03,324,8626,5659322,656.077208439601,11400830.79406011062935691326,0.327966101694915,0.03598413632591040261379525386,0.1,0.0109719072001484,232.2,25.4767685187445848,43130,15.1501854227121,4732.18357542400492,43130,4732.18357542400492,205.42400036,136.92687491950107,0.00008509555163157015,0.109719072001484,,-31.13535206032419,103909289.29754263,708,622,505828.379924,55499.020437275359843807216,813.228906630225,89.2267209602497658486392539,7.42722772,0.81490853298209784593648,505828.379924,55499.020437275359843807216,0.04558926332048322,0.03655724933037962,0.04151447072450825
2017-03-04,566,8606,5673614,659.262607483151,12107198.07541037033634308011,0.244887525562372,0.02852161413548824751518156474,0.1,0.0116468219726545,239.5,27.8941386245075275,43030,15.108731386243,5011.62749483323135,43030,5011.62749483323135,381.69828651,146.10817428714094,0.00009178381857672833,0.116468219726545,,-26.157990959191185,103952804.49754263,978,903,272342.86390746,31719.2885145305930713855257,301.597855932957,35.12656535385449943239324356,4.57629311,0.53299271146855396760495,272342.86390746,31719.2885145305930713855257,0.045774432034987614,0.03885932860295889,0.042175752914996784
2017-03-05,398,8566,5625137,656.68188185851,12491136.62806590581833730478,0.315795724465558,0.03793101404005775831537999496,0.1,0.0120112500269758,265.9,31.9379138217286522,42830,15.032360681038,5144.41838655373514,42830,5144.41838655373514,247.69440311,169.28950497892208,0.00009411186791350077,0.120112500269758,,-23.809222130596602,103995309.39754263,842,729,419853.28732532,50429.62808712128158230367256,579.328929381385,69.58464618660021914456365483,5.21670715,0.6265917389616234873697,422330.78951903,50727.20707003159999407449474,0.04554418763293551,0.039540786346510946,0.04146974421411736
2017-03-06,437,8617,5686645,659.933271440176,13091254.58490061794512734727,0.285743801652893,0.03595527104862956895879199844,0.1,0.0125830449656809,276.6,34.8047023750733694,43085,15.1155321610396,5421.404923463615765,43085,5421.404923463615765,280.87222393,180.5283481061464,0.00009813218381063719,0.125830449656809,,-20.166465825252846,104038844.49754263,968,876,370413.43227208,46609.28874171779260111259272,423.097297114247,53.23852314446621692721445782,4.52079709,0.56885393064189362588581,370633.23227208,46636.94627455235921931259272,0.045652536513624296,0.04080125118749563,0.040579232119229064
2017-03-07,326,8607,5598685,650.480422911584,12605126.9048004682694603123,0.176623376623377,0.02139048927363068457311167687,0.1,0.0121107917210997,108.8,13.1765413925564736,43035,15.0917632851796,5211.879217175255895,43035,5211.879217175255895,425.58029772,175.38772809731043,0.00009810467913500865,0.121107917210997,,-25.175678706026382,104081774.29754263,616,568,244564.36271649,29618.68059262891229142124053,430.571061120581,52.14556442364245292303622926,7.94245493,0.96189417411451497286521,244564.36271649,29618.68059262891229142124053,0.04571819860086017,0.04065121571629735,0.038690660405949165
2017-03-08,339,8622,5624135,652.300510322431,11503675.97874446041587309486,0.179541984732824,0.01983576066539552651245643099,0.1,0.0110479789420358,117.6,12.9924232358341008,43110,15.1118308765811,4762.78372191163338,43110,4762.78372191163338,215.32840869,160.995841094816,0.0000958909924021034,0.110479789420358,,-30.050783741049848,104124709.49754263,655,606,483562.34150647,53423.86566125004648580671626,797.957659251601,88.15819416047866211987349316,5.103305965,0.56381216836085687383547,483562.34150647,53423.86566125004648580671626,0.04617334840475558,0.043273939505928026,0.04008335843835882
2017-03-09,292,8634,5617836,650.664350243224,12394585.60347304550533553778,0.299504950495049,0.03563698062762349189801580464,0.1,0.0118986282426115,181.5,21.5960102603398725,43170,15.1265468768642,5136.63781233538455,43170,5136.63781233538455,388.82248588,174.7264089300337,0.00009969896638362829,0.118986282426115,,-27.445478978241024,104168189.39754263,606,525,267906.80369703,31877.23460857256179981993845,510.298673708629,60.71854211156683537473044634,5.25440149,0.62520169966933947091135,267906.80369703,31877.23460857256179981993845,0.046540915317356116,0.04518958850257547,0.03936373207697396
2017-03-10,291,8603,5591654,649.965593397652,11432667.79227230422696551546,0.175922671353251,0.0192999132021394823252536431,0.1,0.0109706799320853,100.1,10.9816506120173853,43015,15.0660273819145,4719.037972786491795,43015,4719.037972786491795,201.13840686,160.7974373743749,0.00009986689888953858,0.109706799320853,,-31.653696831392182,104211114.19754263,569,521,518106.49107894,56839.80484362858569521113582,994.446240074741,109.0975140952564153307598741,5.4927096,0.6025875898149227532888,518106.49107894,56839.80484362858569521113582,0.04685231614116193,0.04696178316815244,0.03987453369971538
