date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-07-24,337,459,248212,540.76688453,,103.84210568268,0.117419573426573,,0.1,,33.581998,,11475000,47.3520874375012,,11475000,,307.24808837,,,,,,8845174999.99999902,286,506,28788380.904016,,59744.17553289,,2837.0266895,,30230552.819641,,,,
2015-07-25,283,372,202316,543.86021505,,102.682406859543,0.107414570815451,,0.1,,25.027595,,9300000,38.3365473390574,,9300000,,821.88001692,,,,,,8854474999.99999902,233,473,10773439.939795,,23495.09594653,,2443.561992,,11113180.38271,,,,
2015-07-26,336,426,232936,546.79812207,,96.7701623768545,0.110580353612167,,0.1,,29.082633,,10650000,43.848789498174,,10650000,,330.29197918,,,,,,8865124999.99999902,263,529,26840267.274657,,56269.93954408,,2346.286539,,29766798.018817,,,,
2015-07-27,373,514,270219,525.71789883,,97.1811773430738,0.210758734899329,,0.1,,62.806103,,12850000,52.8301780529907,,12850000,,524.35071186,,,,,,8877974999.99999902,298,535,16931368.260278,,41891.50488446,,4287.858808,,22411955.113188,,,,
2015-07-28,297,425,255498,601.17176471,,97.5760023589412,0.139906400881057,,0.1,,31.758753,,10625000,43.6303242355377,,10625000,,436.92357461,,,,,,8888599999.99999902,227,410,20343603.587944,,58481.06893524,,5527.68201,,23977238.263449,,,,
2015-07-29,394,378,231533,612.52116402,,107.211902856825,0.153592423611111,,0.1,,44.234618,,9450000,38.7641112378555,,9450000,,129.31065017,,,,,,8898049999.99999902,288,536,68811424.181257,,169119.61190079,,3499.3158,,90648111.978823,,,,
2015-07-30,317,398,219391,551.23366834,,100.468264551709,0.118123117391304,,0.1,,27.168317,,9950000,40.7695330040413,,9950000,,542.94326719,,,,,,8907999999.99999902,230,437,16406870.732723,,39684.34050642,,4181.322482,,17342056.801305,,,,
2015-07-31,281,292,162038,554.92465753,,97.2598005339726,0.110235881188119,,0.1,,22.267648,,7300000,29.886823774859,,7300000,,302.21330354,,,,,,8915299999.99999902,202,385,29500024.967754,,107377.09668854,,9613.459687,,41340182.225086,,,,
2015-08-01,269,386,226052,585.62694301,,97.5804111084715,0.127643004901961,,0.1,,26.039173,,9650000,39.4652070879949,,9650000,,200.57770645,,,,,,8924949999.99999902,204,390,44496221.229373,,116208.68971782,,6329.7665,,45321388.98995,,,,
2015-08-02,272,360,188750,524.30555556,,104.027565083278,0.112179148148148,,0.1,,21.201859,,9000000,36.7698498424549,,9000000,,501.10934649,,,,,,8933949999.99999902,189,351,17828344.377311,,54026.67449943,,5223.663282,,18963362.749299,,,,
2015-08-03,253,193,115955,600.80310881,,115.677528680881,0.146737012578616,,0.1,,23.331185,,4825000,19.7020844578815,,4825000,,497.66831083,,,,,,8938774999.99999902,159,298,17961310.385708,,70957.80920991,,4204.464779,,21145427.144552,,,,
2015-08-04,483,207,192705,930.94202899,,123.615557814976,0.128805482889734,,0.1,,33.875842,,5175000,21.1190245920427,,5175000,,24.10840605,,,,,,8943949999.99999902,263,497,370988856.878879,,802081.43429489,,7963.562295,,398634472.844558,,,,
2015-08-05,350,201,172917,860.28358209,,114.946127782239,0.132987816901408,,0.1,,28.326405,,5025000,20.4953639942005,,5025000,,69.50693641,,,,,,8948974999.99999902,213,534,128749380.461164,,246771.00940807,,3148.125574,,131775719.023912,,,,
2015-08-06,343,226,161768,715.78761062,,115.778339938717,0.151402266055046,,0.1,,33.005694,,5650000,23.0299984644807,,5650000,,45.25828575,,,,,,8954624999.99999902,218,370,197856035.690794,,741563.30439225,,13436.164877,,274378422.625132,,,,
2015-08-07,307,113,102361,905.84955752,,148.438841171593,0.116141201183432,,0.1,,19.627863,,2825000,11.5113676325293,,2825000,,66.86248383,,,,,,8957449999.99999902,169,281,133968250.752619,,528526.53650954,,9558.219063,,148515956.759182,,,,
2015-08-08,234,122,126796,1039.31147541,,123.185292907705,0.197701068027211,,0.1,,29.062057,,3050000,12.4239718765694,,3050000,,623.80591595,,,,,,8960499999.99999902,147,227,14364243.382188,,63583.33883486,,6137.03101,,14433417.915513,,,,
