date,BlkCnt,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-11-25,1441,32110498.17841324962,2151629999.818876,0.007947528517110267,0.009435254404177724419656917387,0.008,0.0094975482089704,20.902,24.8147190829874126,86460,116.676265,102644.752268447598,86460,102644.752268447598,0.00016629585306475418,1.1871935261213,,10.720139534615242,27047400,2630,5761,0.07782583504697041,0.08735366783792499,0.07686587219588298
2019-11-26,1414,35742669.0111352945008,2198934226.2553043,0.007835593220338983,0.01032222238121408240759234918,0.008,0.01053880372903536,18.492,24.36044481966523464,84840,114.132215,111764.0135464199928,84840,111764.0135464199928,0.00018384787025131524,1.31735046612942,,5.839195487251689,27132240,2360,5037,0.07824103577269877,0.08511949781229132,0.0780950096149535
2019-11-27,1443,34777294.867747115289,2077880250.6798337,0.00806139646869984,0.01029998956743127234568499077,0.008,0.0102215437312116,20.089,25.66757400203872905,86580,116.102485,110622.657031037541,86580,110622.657031037541,0.00016975104074472042,1.27769296640145,,7.455598490555134,27218820,2492,5479,0.07826573600149198,0.08487175507158626,0.0781427873056213
2019-11-28,1438,33191576.082672227568,2104123062.8838665,0.0075620744893872644,0.009192318312598456802483262224,0.008,0.00972465248841344,37.765,45.9064376531166952,86280,115.334525,104880.3770875389504,86280,104880.3770875389504,0.00016346511220794325,1.21558156105168,,5.545431699966373,27305100,4994,10612,0.07832794006752473,0.08518426884753962,0.07827321975518903
2019-11-29,1437,36884334.2552543920644,2130245601.2386918,0.008238187451587916,0.01109329742494377977313930855,0.008,0.01077256130927736,21.271,28.64289395120484057,86220,114.891415,116101.2795107367474,86220,116101.2795107367474,0.00017380171559053484,1.34657016365967,,37.396845871557424,27391320,2582,5929,0.07871687153239812,0.08128115260922388,0.07930625645908013
2019-11-30,1424,38987082.9504901624872,2140168114.47191,0.007948394961397806,0.01127806676199356530804703308,0.008,0.01135128973008176,19.561,27.75532230126616342,85440,113.49821,121231.7743172731968,85440,121231.7743172731968,0.00018778121215663328,1.41891121626022,,40.04422432610134,27476760,2461,5303,0.07880399568586643,0.08153885017652783,0.07959986040944488
2019-12-01,1432,38768836.0673329626204,2209154778.52095,0.007928251121076233,0.01115163939114967256650508554,0.008,0.01125255920464424,19.448,27.35497142649014744,85920,113.77999,120852.4858578791376,85920,120852.4858578791376,0.00018962275930544138,1.40656990058053,,25.84806867798682,27562680,2453,5315,0.0785779644047924,0.07992914800309354,0.0795529199060295
2019-12-02,1424,37467874.4302660321176,2288856834.7254214,0.007739391143911439,0.01048818276059228555531277412,0.008,0.01084135179687184,16.779,22.73838022496407542,85440,112.79449,115785.6371905912512,85440,115785.6371905912512,0.00018517506195207453,1.35516897460898,,21.18517083242446,27648120,2168,4605,0.07845709753637278,0.08034155430755756,0.07961124323922597
2019-12-03,1450,31849578.9665158519008,2124479379.5006897,0.007920366132723112,0.009095339287801261656046894854,0.008,0.00918678670696672,17.306,19.87331634384575704,87000,114.49393,99906.30543826308,87000,99906.30543826308,0.0001571692039742835,1.14834833837084,,1.8811577273147966,27735120,2185,4729,0.0793733071791051,0.08625715180799312,0.0823977753770517
2019-12-04,1436,36702241.3101756322464,2096503696.7604456,0.007936849659131683,0.01047040867393722507617899327,0.008,0.01055371753137904,22.12,29.1810289742630456,86160,113.037215,113663.5378129522608,86160,113663.5378129522608,0.00018284282349503256,1.31921469142238,,2.378826670573981,27821280,2787,5984,0.08001273444196683,0.08652084870633937,0.08440648612043611
