date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-11-06,6222,4234,6734013,1590.46126594237,2642907231.77349,0.000014265589886824727,0,0.3104905638867402,0,0,0,0,0,2.91944183,0.7874734982464469,0.003783546750438341,26.4290723177349,,-26.21192971314733,100000000,21765,11077,34253123,905278264.8752686110927,3434.88327164395,90780.77838925580574186328886,41,1083.5919650271309,38048202,1005578682.2177856576498,,0.05557699022615141,0.08763588618870233
2017-11-07,16490,4301,9601191,2232.31597302953,2626623458.57942,0.000009574013285369577,0,0.23747382553030694,0,0,0,0,0,2.90912984,0.7932412440727857,0.0036900094404516107,26.2662345857942,,-17.76347987054594,100000000,24804,13437,34374540,902889731.418766159668,2835.74637195803,74484.37943166443152307661743,44,1155.7143217749448,38103924,1000846606.4232736764408,,0.05195797163619196,0.08464619588896127
2017-11-08,10924,4329,9827188,2270.0826980827,3109610833.62921,0.000013977402692192726,0,0.46432931743464195,0,0,0,0,0,4.78458644,0.9688054756253731,0.004173294901992802,31.0961083362921,,6.383629262439343,100000000,33220,19476,20900448,649922595.2850395488608,1319.54590264941,41032.74234349640214464565266,48,1492.6132001420208,25699476,799153689.8819387529396,,0.058742568099776536,0.08533948934840127
2017-11-09,10592,4337,9576419,2208.07447544386,3182120673.25756,0.000022607381258725727,0,0.761687889368986,0,0,0,0,0,1.472828,0.9993330822196529,0.00447069090074377,31.8212067325756,,9.365871227708263,100000000,33692,19155,67896591,2160551458.6481318897796,3809.38376403028,121219.1882789245266824207892,44,1400.1330962333264,72968746,2321953551.4827988821976,,0.05885125544699641,0.08510769529750152
2017-11-10,8383,4253,8019947,1885.7152598166,2833856383.74053,0.000044666925734491846,0,1.172596134381879,0,0,0,0,0,3.18965958,0.8959100774279954,0.004280382994037458,28.3385638374053,,-5.842033406956394,100000000,26252,15233,31351308,888451043.1441554811324,2287.21492811659,64816.38625029836010412148393,34,963.5111704717802,34841145,987348011.7507944810685,,0.06238880342204963,0.08581283760192045
2017-11-11,6965,4541,10761780,2369.91411583352,2850422449.33854,0.0013203626456065928,0,46.81741868791919,0,0,0,0,0,4.07385176,0.9621498704265947,0.004491173076012575,28.5042244933854,,2.326134377685748,100000000,35458,13407,24546794,699687326.7688857764076,2117.70261803535,60363.47083470960959881837389,44,1254.1858777089576,28392039,809293053.4809535188306,,0.060751245447606295,0.0853867331346116
2017-11-12,7426,3763,9021583,2397.44432633537,2670328346.8079,0.00007645351987047446,0,2.3135599648004264,0,0,0,0,0,2.56145612,0.9860524512984997,0.004581031963763876,26.703283468079,,-8.828943907932796,100000000,30261,13909,39040294,1042504037.359143775226,3051.81350204903,81493.44103692614019109791337,43,1148.241189127397,42447674,1133492271.382606798246,,0.0611687720470025,0.08571623247365055
2017-11-13,8778,4186,10150549,2424.88031533684,2850236046.18935,0.00003387208030968848,0,1.0380099010904023,0,0,0,0,0,7.80574864,1.1053970891135865,0.004371899710695505,28.5023604618935,,3.282634121384446,100000000,30645,14095,12811071,365145763.5449104229385,1168.19318907414,33296.26336412004574801628409,43,1225.6014998614205,16465683,469310832.1172719507605,,0.0614379591534425,0.08051500086809268
2017-11-14,7608,4252,9006355,2118.14557855127,2972525526.99279,0.6860125845260927,0,19887.504825411455,0,0,0,0,0,3.784936,1.16650264482489,0.004509036271186443,29.7252552699279,,7.405244137545881,100000000,28990,14034,26420526,785356879.7157671000754,2173.03363260653,64593.97943936782399400216919,40,1189.010210797116,30496354,906511907.4520867928766,,0.061891264730971444,0.07850932398025805
2017-11-15,7885,3856,8246087,2138.50803941909,2947107629.42364,0.000029578515469931517,0,0.835267698355395,0,0,0,0,0,7.42214614,1.1852368137752445,0.004060846181214734,29.4710762942364,,3.830926567155986,100000000,28239,14351,13473192,397069469.3588955105888,1205.9262769145,35539.9453121716813867255878,38,1119.9008991809832,17306248,510033755.1749761090272,,0.061768240197405844,0.0774716866270575
2017-11-16,7626,3693,7317317,1981.40184132142,2861712749.57054,0.00004510783076009795,0,1.1147498215742997,0,0,0,0,0,3.30066664,1.1809504024057609,0.0036530772559906412,28.6171274957054,,-9.292545619013664,100000000,24713,14350,30296910,867010536.195911890314,2387.12362369338,68312.62108724373525163641025,37,1058.8337173410998,34255224,980286112.6019475150096,,0.05874021389528543,0.07742823820707594
2017-11-17,12479,4224,10545999,2496.68536931818,4014583472.59876,0.00002859565401457982,0,1.0442560933044247,0,0,0,0,0,2.66759969,1.6800811550574226,0.005194159906352239,40.1458347259876,,35.800999581775535,100000000,36518,23072,37486884,1504942249.4562689466384,1878.05968273232,75396.27362851242687847843923,45,1806.562562669442,43330593,1739542825.1570352186468,,0.08461245664076728,0.08831076184991694
